Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,frecuencia,Force,slide_1,Experimental_1
45681,,3.4166666666666665,0.013816666666666666,7.178490580197905,821.2387560607812,0.4240000000000001,0.018391666666666664,11.699413333333325,0.125Hz,39.18586064065601,0.018391666666666664,0.013816666666666666
45681,,3.4166666666666665,0.014399999999999998,7.215168146459607,798.6003745333038,0.4240000000000001,0.018975000000000002,11.899664166666666,0.125Hz,39.386075711514245,0.018975000000000002,0.014399999999999998
45681,,3.5,0.014924999999999999,7.238472476446037,800.8225611379297,0.4240000000000001,0.019316666666666663,12.099645833333335,0.125Hz,39.5132891161945,0.019316666666666663,0.014924999999999999
45681,,3.6,0.015110000000000002,7.236104392109338,764.0428735523258,0.42400000000000004,0.0193,12.280265000000004,0.125Hz,39.5003622450415,0.0193,0.015110000000000002
45681,,3.6,0.015480000000000002,7.238334319045833,764.2903607380354,0.42400000000000004,0.019319999999999997,12.480692999999993,0.125Hz,39.5125349441899,0.019319999999999997,0.015480000000000002
45681,,3.6,0.01593,7.226606766903433,752.7807985863178,0.42400000000000004,0.01914,12.680578,0.125Hz,39.448516719359205,0.01914,0.01593
45681,,3.6,0.01617,7.201266629102051,750.4452908090268,0.42400000000000004,0.018749999999999996,12.880264999999998,0.125Hz,39.31019027072679,0.018749999999999996,0.01617
45681,,3.6,0.016360000000000003,7.162374361330511,736.3920801825782,0.42400000000000004,0.01813,13.080937999999994,0.125Hz,39.097885613101596,0.01813,0.016360000000000003
45681,,3.4444444444444446,0.016577777777777778,7.137613677272673,736.4197219139979,0.424,0.017755555555555556,13.245314444444443,0.125Hz,38.962722279805,0.017755555555555556,0.016577777777777778
45681,,3.4444444444444446,0.01678888888888889,7.081117905901957,731.1663369595085,0.424,0.016877777777777776,13.44487888888889,0.125Hz,38.65432382208101,0.016877777777777776,0.01678888888888889
45681,,3.4444444444444446,0.016844444444444443,7.014318897513155,713.3383173166926,0.424,0.01583333333333333,13.645275555555564,0.125Hz,38.289682174312006,0.01583333333333333,0.016844444444444443
45681,,3.4444444444444446,0.016644444444444444,6.9388646654433375,706.3106783246698,0.424,0.014644444444444444,13.845273333333326,0.125Hz,37.877793492478,0.014644444444444444,0.016644444444444444
45681,,3.4444444444444446,0.0163,6.851884431730467,698.205675067928,0.424,0.0133,14.05465,0.125Hz,37.402986807328,0.0133,0.0163
45681,,3.4444444444444446,0.015655555555555555,6.770646731576711,679.0242753829494,0.424,0.012055555555555555,14.24473777777778,0.125Hz,36.9595273973827,0.012055555555555555,0.015655555555555555
