Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,slide_1,frecuencia,Force
45684,,21.4,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,4.997176000000003,0.0,0.25Hz,75.07921000000003
45684,,21.4,0.0030199999999999997,13.753823265387847,1351.856328334147,4.741000000000001,0.0,5.199780000000004,0.0,0.25Hz,75.07921000000003
45684,,21.4,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,5.399174000000009,0.0,0.25Hz,75.07921000000003
45684,,21.4,0.0030200000000000005,13.753823265387847,1351.856328334147,4.741000000000001,0.0,5.600448000000007,0.0,0.25Hz,75.07921000000003
45684,,21.4,0.0030199999999999997,14.564764765313615,1447.4909765873344,4.741000000000001,0.0126,5.7987020000000085,0.0126,0.25Hz,79.50596800000002
45684,,21.4,0.006920000000000001,17.80853076501668,1809.9746691399782,4.741000000000001,0.063,6.001158000000004,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.030699999999999998,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,6.199958000000008,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.05244,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,6.3978380000000055,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,6.600378000000004,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,6.797750000000005,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.05376000000000001,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,6.9985400000000055,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,7.199114000000006,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,7.398402000000003,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,7.598838000000003,0.063,0.25Hz,97.21299999999998
45684,,21.4,0.053739999999999996,16.997589265090916,1654.1753195064734,4.741000000000001,0.0504,7.797742000000001,0.0504,0.25Hz,92.786242
45684,,21.4,0.0521,13.753823265387847,1351.856328334147,4.741000000000001,0.0,7.997608000000004,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.04082,13.753823265387847,1351.856328334147,4.741000000000001,0.0,8.198736000000004,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.022880000000000005,13.753823265387847,1351.856328334147,4.741000000000001,0.0,8.400232,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.006320000000000001,13.753823265387847,1351.856328334147,4.741000000000001,0.0,8.601638000000001,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.0026799999999999997,13.753823265387847,1351.856328334147,4.741000000000001,0.0,8.800874000000006,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.0030200000000000005,13.753823265387847,1351.856328334147,4.741000000000001,0.0,9.000030000000002,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,9.198050000000004,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,9.397536000000002,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.0030199999999999997,13.753823265387847,1351.856328334147,4.741000000000001,0.0,9.599072000000003,0.0,0.25Hz,75.07921000000003
45684,,21.6,0.003,14.564764765313615,1447.4909765873344,4.741000000000001,0.0126,9.799290000000008,0.0126,0.25Hz,79.50596800000002
45684,,21.6,0.007240000000000001,17.80853076501668,1809.9746691399782,4.741000000000001,0.063,10.000214000000005,0.063,0.25Hz,97.21299999999998
45684,,21.6,0.03158,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,10.199088000000007,0.063,0.25Hz,97.21299999999998
45684,,21.6,0.05332,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,10.398612000000004,0.063,0.25Hz,97.21299999999998
